Player,Mat,Inns,Not_Outs,Runs,HS,Ave,BF,SR,hundreds,fifties,Ducks,fours,sixes
R Gunasekera (Can),1,1,0,4,4,4,11,36,0,0,0,1,0
R Rampaul (WI),9,5,0,26,16,5.2,33,79,0,0,1,2,1
R Strydom (Ire),9,6,0,83,37,13.83,155,54,0,0,0,8,1
RA Jadeja (India),9,7,1,159,60,26.5,244,65,0,2,1,16,0
RD Berrington (Scot),6,4,1,51,25,17,77,66,0,0,0,7,0
RD Steede (Ber),3,3,1,21,9,10.5,44,48,0,0,0,3,0
RDM Leverock (Ber),7,4,2,32,20,16,90,36,0,0,0,2,0
RE van der Merwe (SA),7,4,2,12,6,6,14,86,0,0,1,0,1
RG Sharma (India),37,35,10,634,70,25.36,888,71,0,3,3,48,4
RJ Harris (Aus),1,1,0,7,7,7,10,70,0,0,0,0,0
RJ Sidebottom (Eng),16,12,5,106,24,15.14,166,64,0,0,1,9,0
RJ Trott (Ber),8,7,3,83,48,20.75,158,53,0,0,0,5,0
RL Bhudia (Kenya),5,5,0,122,47,24.4,124,98,0,0,0,16,1
RM Haq (Scot),6,4,0,12,7,3,41,29,0,0,0,0,0
RM West (Ire),10,4,2,61,29,30.5,41,149,0,0,1,6,3
RN Lewis (WI),4,4,1,86,28,28.66,70,123,0,0,0,1,6
RN ten Doeschate (Neth),7,7,2,411,106,82.2,491,84,1,3,1,20,9
RP Singh (India),17,6,1,52,23,10.4,125,42,0,0,1,3,1
RR David (Can),3,3,0,82,48,27.33,170,48,0,0,0,10,0
RR Patel (Kenya),13,10,0,141,47,14.1,244,58,0,0,1,14,2
RR Sarwan (WI),28,26,4,808,74,36.72,1036,78,0,7,1,62,9
RR Watson (Scot),13,13,3,259,74,25.9,328,79,0,3,2,28,3
RS Bopara (Eng),31,29,1,733,60,26.17,1048,70,0,3,1,69,9
RS Haire (Ire),2,2,0,56,54,28,72,78,0,1,0,7,1
RS Morton (WI),10,10,2,276,85,34.5,409,67,0,1,0,20,2
RT Crandon (WI),1,1,0,5,5,5,9,56,0,0,0,1,0
RT Lyons (Scot),3,2,1,9,6,9,15,60,0,0,0,0,0
RT Ponting (Aus),42,42,1,1476,126,36,1865,79,3,10,1,143,13
RV Uthappa (India),13,11,2,179,51,19.88,275,65,0,1,0,12,2
RW Chakabva (Zim),1,1,0,41,41,41,44,93,0,0,0,3,0
RW Price (Zim),38,22,4,172,46,9.55,312,55,0,0,3,13,2
Raees Ahmadzai (Afgh),3,2,0,45,39,22.5,63,71,0,0,0,5,0
Raqibul Hasan (Bang),36,35,5,915,89,30.5,1480,62,0,6,2,76,5
Rizwan Cheema (Can),11,11,1,426,94,42.6,325,131,0,4,1,52,21
Rubel Hossain (Bang),8,4,3,1,1,1,9,11,0,0,1,0,0
S Badrinath (India),3,3,1,39,27,19.5,87,45,0,0,0,1,0
S Chanderpaul (WI),27,25,7,1109,112,61.61,1458,76,2,8,0,84,9
S Chattergoon (WI),15,14,1,307,52,23.61,516,59,0,1,1,45,3
S Dhaniram (Can),14,12,1,337,92,30.63,393,86,0,2,1,27,2
S Jyoti (Can),8,7,1,172,117,28.66,255,67,1,0,2,12,2
